Untitled report
1 December 2025 - 1 March 2026
Campaign,Day,Currency code,Cost,Clicks,Impr.,Conversions,Conv. value,Cost / conv.
AU_EN_PaidSearch_Google_GEN_AlwaysOn_Conv,2026-02-11,GBP,16.40,23,246,0.10,12.68,168.09
US_EN_PaidSearch_Google_PMAX_AlwaysOn_Conv,2026-02-12,GBP,342.39,542,"33,155",45.65,"10,563.56",7.50
DE_DE_PaidSearch_Google_BRA_AlwaysOn_Conv,2026-02-12,GBP,183.60,523,"2,338",37.99,"10,492.39",4.83
UK_EN_PaidSearch_Google_PMAX_AlwaysOn_Conv,2026-02-12,GBP,160.37,431,"35,281",25.43,"3,288.90",6.31
US_EN_PaidSearch_Google_BRA_AlwaysOn_Conv,2026-02-12,GBP,228.04,503,"1,972",24.01,"6,004.47",9.50
DE_EN_PaidSearch_Google_BRA_AlwaysOn_Conv,2026-02-12,GBP,36.86,82,425,4.20,736.59,8.79
AU_EN_PaidSearch_Google_PMAX_AlwaysOn_Conv,2026-02-12,GBP,131.55,473,"29,660",25.41,"5,523.75",5.18
DE_DE_PaidSearch_Google_PMAX_AlwaysOn_Conv,2026-02-12,GBP,132.67,524,"32,751",36.44,"6,402.08",3.64
UK_EN_PaidSearch_Google_BRA_AlwaysOn_Conv,2026-02-12,GBP,324.97,900,"3,475",101.17,"18,848.92",3.21
AU_EN_PaidSearch_Google_BRA_AlwaysOn_Conv,2026-02-12,GBP,74.45,212,854,13.03,"2,094.41",5.71
US_EN_PaidSearch_Google_GEN_AlwaysOn_Conv,2026-02-12,GBP,24.16,23,269,1.00,365.07,24.16
UK_EN_PaidSearch_Google_GEN_AlwaysOn_Conv,2026-02-12,GBP,12.78,19,187,0.50,24.00,25.55
DE_DE_PaidSearch_Google_GEN_AlwaysOn_Conv,2026-02-12,GBP,10.69,11,102,0.00,0.00,0
AU_EN_PaidSearch_Google_GEN_AlwaysOn_Conv,2026-02-12,GBP,3.55,9,148,0.00,0.00,0
US_EN_PaidSearch_Google_PMAX_AlwaysOn_Conv,2026-02-13,GBP,375.74,607,"35,372",38.54,"7,904.29",9.75
DE_DE_PaidSearch_Google_BRA_AlwaysOn_Conv,2026-02-13,GBP,181.88,516,"2,295",36.14,"6,701.49",5.03
UK_EN_PaidSearch_Google_PMAX_AlwaysOn_Conv,2026-02-13,GBP,197.98,486,"39,221",32.23,"5,564.54",6.14
US_EN_PaidSearch_Google_BRA_AlwaysOn_Conv,2026-02-13,GBP,229.00,461,"1,887",31.28,"6,692.58",7.32
DE_EN_PaidSearch_Google_BRA_AlwaysOn_Conv,2026-02-13,GBP,47.54,86,381,7.61,"2,412.95",6.25
AU_EN_PaidSearch_Google_PMAX_AlwaysOn_Conv,2026-02-13,GBP,178.46,539,"34,285",31.53,"5,252.36",5.66
DE_DE_PaidSearch_Google_PMAX_AlwaysOn_Conv,2026-02-13,GBP,175.80,643,"36,154",31.85,"8,456.80",5.52
UK_EN_PaidSearch_Google_BRA_AlwaysOn_Conv,2026-02-13,GBP,294.16,793,"2,985",77.47,"12,715.87",3.80
AU_EN_PaidSearch_Google_BRA_AlwaysOn_Conv,2026-02-13,GBP,58.57,209,827,10.00,"1,441.28",5.86
US_EN_PaidSearch_Google_GEN_AlwaysOn_Conv,2026-02-13,GBP,39.72,25,262,4.29,"1,536.62",9.25
UK_EN_PaidSearch_Google_GEN_AlwaysOn_Conv,2026-02-13,GBP,9.73,16,241,0.10,8.58,99.77
DE_DE_PaidSearch_Google_GEN_AlwaysOn_Conv,2026-02-13,GBP,1.58,4,94,0.00,0.00,0
AU_EN_PaidSearch_Google_GEN_AlwaysOn_Conv,2026-02-13,GBP,11.05,15,184,0.10,12.33,113.27
US_EN_PaidSearch_Google_PMAX_AlwaysOn_Conv,2026-02-14,GBP,502.50,734,"43,648",70.87,"15,885.80",7.09
DE_DE_PaidSearch_Google_BRA_AlwaysOn_Conv,2026-02-14,GBP,216.90,596,"2,574",37.73,"9,678.51",5.75
UK_EN_PaidSearch_Google_PMAX_AlwaysOn_Conv,2026-02-14,GBP,209.95,556,"45,009",27.56,"4,847.76",7.62
US_EN_PaidSearch_Google_BRA_AlwaysOn_Conv,2026-02-14,GBP,268.80,498,"2,026",35.10,"5,880.64",7.66
DE_EN_PaidSearch_Google_BRA_AlwaysOn_Conv,2026-02-14,GBP,43.31,93,457,11.03,"2,526.50",3.93
AU_EN_PaidSearch_Google_PMAX_AlwaysOn_Conv,2026-02-14,GBP,205.01,659,"46,614",17.99,"3,147.18",11.40
DE_DE_PaidSearch_Google_PMAX_AlwaysOn_Conv,2026-02-14,GBP,186.80,730,"37,485",35.91,"10,830.16",5.20
UK_EN_PaidSearch_Google_BRA_AlwaysOn_Conv,2026-02-14,GBP,309.47,916,"3,477",104.39,"21,152.71",2.96
AU_EN_PaidSearch_Google_BRA_AlwaysOn_Conv,2026-02-14,GBP,81.60,221,901,17.89,"2,843.83",4.56
US_EN_PaidSearch_Google_GEN_AlwaysOn_Conv,2026-02-14,GBP,20.65,23,349,2.00,282.56,10.32
UK_EN_PaidSearch_Google_GEN_AlwaysOn_Conv,2026-02-14,GBP,11.75,24,332,2.50,121.90,4.70
DE_DE_PaidSearch_Google_GEN_AlwaysOn_Conv,2026-02-14,GBP,3.24,13,131,0.00,0.00,0
AU_EN_PaidSearch_Google_GEN_AlwaysOn_Conv,2026-02-14,GBP,15.03,22,232,0.50,97.48,30.03
US_EN_PaidSearch_Google_PMAX_AlwaysOn_Conv,2026-02-15,GBP,637.43,918,"55,493",63.81,"14,276.18",9.99
